Cafe_Name,Maps_URL
Sri Sri Café,"https://www.google.com/maps/place/Sri+Sri+Cafe/@12.9093903,77.5348263,13z/data=!4m13!1m3!2m2!1scafe+near+dayananda+sagar+college!6e5!3m8!1s0x3bae15d9a4fa523b:0xd66b75fe303ea443!8m2!3d12.9093903!4d77.5642736!9m1!1b1!15sCiFjYWZlIG5lYXIgZGF5YW5hbmRhIHNhZ2FyIGNvbGxlZ2VaIyIhY2FmZSBuZWFyIGRheWFuYW5kYSBzYWdhciBjb2xsZWdlkgEEY2FmZaoBXwoJL20vMGRsbWhtEAEqCCIEY2FmZSgAMh8QASIb879OBPQQ7vV_044Hp_tvPcUf6S0yQ6lAoLDhMiUQAiIhY2FmZSBuZWFyIGRheWFuYW5kYSBzYWdhciBjb2xsZWdl4AEA!16s%2Fg%2F11pkljjp6p?authuser=0&entry=ttu&g_ep=EgoyMDI1MDcyOC4wIKXMDSoASAFQAw%3D%3D"
Season's Cafe,"https://www.google.com/maps/place/Season's+Cafe/@12.912024,77.5320533,13z/data=!4m13!1m3!2m2!1scafe+near+dayananda+sagar+college!6e5!3m8!1s0x3bae15d8711029f5:0x2415d554c63820fb!8m2!3d12.912024!4d77.5670722!9m1!1b1!15sCiFjYWZlIG5lYXIgZGF5YW5hbmRhIHNhZ2FyIGNvbGxlZ2VaIyIhY2FmZSBuZWFyIGRheWFuYW5kYSBzYWdhciBjb2xsZWdlkgEEY2FmZaoBXwoJL20vMGRsbWhtEAEqCCIEY2FmZSgAMh8QASIb879OBPQQ7vV_044Hp_tvPcUf6S0yQ6lAoLDhMiUQAiIhY2FmZSBuZWFyIGRheWFuYW5kYSBzYWdhciBjb2xsZWdl4AEA!16s%2Fg%2F11kblccpq9?authuser=0&entry=ttu&g_ep=EgoyMDI1MDcyOC4wIKXMDSoASAFQAw%3D%3D"
Eat N Drink,"https://www.google.com/maps/place/Eat+N+Drink/@12.9067853,77.5283128,13z/data=!4m13!1m3!2m2!1scafe+near+dayananda+sagar+college!6e5!3m8!1s0x3bae156265990617:0x22be55a9cfbcb1bd!8m2!3d12.9067853!4d77.5633317!9m1!1b1!15sCiFjYWZlIG5lYXIgZGF5YW5hbmRhIHNhZ2FyIGNvbGxlZ2VaIyIhY2FmZSBuZWFyIGRheWFuYW5kYSBzYWdhciBjb2xsZWdlkgEUZmFzdF9mb29kX3Jlc3RhdXJhbnSqAV8KCS9tLzBkbG1obRABKggiBGNhZmUoADIfEAEiG_O_TgT0EO71f9OOB6f7bz3FH-ktMkOpQKCw4TIlEAIiIWNhZmUgbmVhciBkYXlhbmFuZGEgc2FnYXIgY29sbGVnZeABAA!16s%2Fg%2F1pp2tzd04?authuser=0&entry=ttu&g_ep=EgoyMDI1MDcyOC4wIKXMDSoASAFQAw%3D%3D"
Vinaya Café,"http://google.com/maps/place/Vinaya+Caf%C3%A9/@12.8959427,77.5728938,13z/data=!4m13!1m3!2m2!1scafe+near+dayananda+sagar+college!6e5!3m8!1s0x3bae156c3e6d325b:0xc0a3964e1263dc6f!8m2!3d12.9058951!4d77.5802304!9m1!1b1!15sCiFjYWZlIG5lYXIgZGF5YW5hbmRhIHNhZ2FyIGNvbGxlZ2VaIyIhY2FmZSBuZWFyIGRheWFuYW5kYSBzYWdhciBjb2xsZWdlkgEXc291dGhfaW5kaWFuX3Jlc3RhdXJhbnSqAV8KCS9tLzBkbG1obRABKggiBGNhZmUoADIfEAEiG_O_TgT0EO71f9OOB6f7bz3FH-ktMkOpQKCw4TIlEAIiIWNhZmUgbmVhciBkYXlhbmFuZGEgc2FnYXIgY29sbGVnZeABAA!16s%2Fg%2F1jmcyrdbp?authuser=0&entry=ttu&g_ep=EgoyMDI1MDcyOC4wIKXMDSoASAFQAw%3D%3D"
Ande ka Funda,"https://www.google.com/maps/place/Ande+ka+Funda/@12.9103977,77.5317869,13z/data=!4m11!1m3!2m2!1scafe+near+dayananda+sagar+college!6e5!3m6!1s0x3bae15b1763cca2d:0x941259d52dc0022f!8m2!3d12.9103977!4d77.5668058!15sCiFjYWZlIG5lYXIgZGF5YW5hbmRhIHNhZ2FyIGNvbGxlZ2VaIyIhY2FmZSBuZWFyIGRheWFuYW5kYSBzYWdhciBjb2xsZWdlkgEXbm9ydGhfaW5kaWFuX3Jlc3RhdXJhbnSqAV8KCS9tLzBkbG1obRABKggiBGNhZmUoADIfEAEiG_O_TgT0EO71f9OOB6f7bz3FH-ktMkOpQKCw4TIlEAIiIWNhZmUgbmVhciBkYXlhbmFuZGEgc2FnYXIgY29sbGVnZeABAA!16s%2Fg%2F11qr13lwrr?authuser=0&entry=ttu&g_ep=EgoyMDI1MDcyOC4wIKXMDSoASAFQAw%3D%3D"
Third Wave Coffee,"https://www.google.com/maps/place/Third+Wave+Coffee/@12.8959427,77.5728938,13z/data=!4m13!1m3!2m2!1scafe+near+dayananda+sagar+college!6e5!3m8!1s0x3bae15497405a0f5:0x460a3b0ac10b8c57!8m2!3d12.9210085!4d77.5835729!9m1!1b1!15sCiFjYWZlIG5lYXIgZGF5YW5hbmRhIHNhZ2FyIGNvbGxlZ2VaIyIhY2FmZSBuZWFyIGRheWFuYW5kYSBzYWdhciBjb2xsZWdlkgEEY2FmZaoBXwoJL20vMGRsbWhtEAEqCCIEY2FmZSgAMh8QASIb879OBPQQ7vV_044Hp_tvPcUf6S0yQ6lAoLDhMiUQAiIhY2FmZSBuZWFyIGRheWFuYW5kYSBzYWdhciBjb2xsZWdl4AEA!16s%2Fg%2F11rfmz_5rl?authuser=0&entry=ttu&g_ep=EgoyMDI1MDcyOC4wIKXMDSoASAFQAw%3D%3D"
CHAI VENUE,"https://www.google.com/maps/place/CHAI+VENUE/@12.908978,77.5277111,13z/data=!4m13!1m3!2m2!1scafe+near+dayananda+sagar+college!6e5!3m8!1s0x3bae158b2b87dc13:0xa2d599a5cdffc9b3!8m2!3d12.908978!4d77.56273!9m1!1b1!15sCiFjYWZlIG5lYXIgZGF5YW5hbmRhIHNhZ2FyIGNvbGxlZ2VaIyIhY2FmZSBuZWFyIGRheWFuYW5kYSBzYWdhciBjb2xsZWdlkgEEY2FmZaoBXwoJL20vMGRsbWhtEAEqCCIEY2FmZSgAMh8QASIb879OBPQQ7vV_044Hp_tvPcUf6S0yQ6lAoLDhMiUQAiIhY2FmZSBuZWFyIGRheWFuYW5kYSBzYWdhciBjb2xsZWdl4AEA!16s%2Fg%2F11sr0_h9tv?authuser=0&entry=ttu&g_ep=EgoyMDI1MDcyOC4wIKXMDSoASAFQAw%3D%3D"
Spice N Sip Mr Gowda,"https://www.google.com/maps/place/Spice+N+Sip+Mr+Gowda/@12.909362,77.5303871,13z/data=!4m13!1m3!2m2!1scafe+near+dayananda+sagar+college!6e5!3m8!1s0x3bae15006341cc6b:0x7ae7e393bd8ae829!8m2!3d12.909362!4d77.565406!9m1!1b1!15sCiFjYWZlIG5lYXIgZGF5YW5hbmRhIHNhZ2FyIGNvbGxlZ2VaIyIhY2FmZSBuZWFyIGRheWFuYW5kYSBzYWdhciBjb2xsZWdlkgEEY2FmZaoBXwoJL20vMGRsbWhtEAEqCCIEY2FmZSgAMh8QASIb879OBPQQ7vV_044Hp_tvPcUf6S0yQ6lAoLDhMiUQAiIhY2FmZSBuZWFyIGRheWFuYW5kYSBzYWdhciBjb2xsZWdl4AEA!16s%2Fg%2F11whgrn97q?authuser=0&entry=ttu&g_ep=EgoyMDI1MDcyOC4wIKXMDSoASAFQAw%3D%3D"
Students Corner,"https://www.google.com/maps/place/Students+Corner/@12.9112948,77.5319764,13z/data=!4m11!1m3!2m2!1scafe+near+dayananda+sagar+college!6e5!3m6!1s0x3bae1562dcb4309b:0xdebd7164e0e8161!8m2!3d12.9112948!4d77.5669953!15sCiFjYWZlIG5lYXIgZGF5YW5hbmRhIHNhZ2FyIGNvbGxlZ2VaIyIhY2FmZSBuZWFyIGRheWFuYW5kYSBzYWdhciBjb2xsZWdlkgEUZmFzdF9mb29kX3Jlc3RhdXJhbnSqAV8KCS9tLzBkbG1obRABKggiBGNhZmUoADIfEAEiG_O_TgT0EO71f9OOB6f7bz3FH-ktMkOpQKCw4TIlEAIiIWNhZmUgbmVhciBkYXlhbmFuZGEgc2FnYXIgY29sbGVnZeABAA!16s%2Fg%2F1tjjmtjk?authuser=0&entry=ttu&g_ep=EgoyMDI1MDcyOC4wIKXMDSoASAFQAw%3D%3D"
Alchemy Coffee Roasters,"https://www.google.com/maps/place/Alchemy+Coffee+Roasters/@12.8959427,77.5728938,13z/data=!4m13!1m3!2m2!1scafe+near+dayananda+sagar+college!6e5!3m8!1s0x3bae159e43217343:0xd516bc02fecd88c1!8m2!3d12.9232172!4d77.5809448!9m1!1b1!15sCiFjYWZlIG5lYXIgZGF5YW5hbmRhIHNhZ2FyIGNvbGxlZ2VaIyIhY2FmZSBuZWFyIGRheWFuYW5kYSBzYWdhciBjb2xsZWdlkgELY29mZmVlX3Nob3CqAV8KCS9tLzBkbG1obRABKggiBGNhZmUoADIfEAEiG_O_TgT0EO71f9OOB6f7bz3FH-ktMkOpQKCw4TIlEAIiIWNhZmUgbmVhciBkYXlhbmFuZGEgc2FnYXIgY29sbGVnZeABAA!16s%2Fg%2F11f03t9wc2?authuser=0&entry=ttu&g_ep=EgoyMDI1MDcyOC4wIKXMDSoASAFQAw%3D%3D"
Malgudi Parampare Cafe @Sarakki,"https://www.google.com/maps/place/Malgudi+Parampare+Cafe+@Sarakki/@12.9111579,77.5418744,13z/data=!4m13!1m3!2m2!1scafe+near+dayananda+sagar+college!6e5!3m8!1s0x3bae3f6cc420857d:0x94cf73fe96b97dc2!8m2!3d12.9111579!4d77.5768933!9m1!1b1!15sCiFjYWZlIG5lYXIgZGF5YW5hbmRhIHNhZ2FyIGNvbGxlZ2VaIyIhY2FmZSBuZWFyIGRheWFuYW5kYSBzYWdhciBjb2xsZWdlkgEEY2FmZaoBXwoJL20vMGRsbWhtEAEqCCIEY2FmZSgAMh8QASIb879OBPQQ7vV_044Hp_tvPcUf6S0yQ6lAoLDhMiUQAiIhY2FmZSBuZWFyIGRheWFuYW5kYSBzYWdhciBjb2xsZWdl4AEA!16s%2Fg%2F11v44s9pb4?authuser=0&entry=ttu&g_ep=EgoyMDI1MDcyOC4wIKXMDSoASAFQAw%3D%3D"
Cafe Petriqor,"https://www.google.com/maps/place/Cafe+Petriqor/@12.8959427,77.5728938,13z/data=!4m13!1m3!2m2!1scafe+near+dayananda+sagar+college!6e5!3m8!1s0x3bae15b8dbd6163f:0xae95e70c136dbb91!8m2!3d12.9065226!4d77.5850515!9m1!1b1!15sCiFjYWZlIG5lYXIgZGF5YW5hbmRhIHNhZ2FyIGNvbGxlZ2VaIyIhY2FmZSBuZWFyIGRheWFuYW5kYSBzYWdhciBjb2xsZWdlkgEEY2FmZaoBXwoJL20vMGRsbWhtEAEqCCIEY2FmZSgAMh8QASIb879OBPQQ7vV_044Hp_tvPcUf6S0yQ6lAoLDhMiUQAiIhY2FmZSBuZWFyIGRheWFuYW5kYSBzYWdhciBjb2xsZWdl4AEA!16s%2Fg%2F11q83ctqmy?authuser=0&entry=ttu&g_ep=EgoyMDI1MDcyOC4wIKXMDSoASAFQAw%3D%3D"
154 Breakfast Club - JP Nagar,"https://www.google.com/maps/place/154+Breakfast+Club+-+JP+Nagar/@12.8959427,77.5728938,13z/data=!4m13!1m3!2m2!1scafe+near+dayananda+sagar+college!6e5!3m8!1s0x3bae15e0dda58031:0x96b3afb03e0055ff!8m2!3d12.9065333!4d77.5924955!9m1!1b1!15sCiFjYWZlIG5lYXIgZGF5YW5hbmRhIHNhZ2FyIGNvbGxlZ2VaIyIhY2FmZSBuZWFyIGRheWFuYW5kYSBzYWdhciBjb2xsZWdlkgEUYnJlYWtmYXN0X3Jlc3RhdXJhbnSqAV8KCS9tLzBkbG1obRABKggiBGNhZmUoADIfEAEiG_O_TgT0EO71f9OOB6f7bz3FH-ktMkOpQKCw4TIlEAIiIWNhZmUgbmVhciBkYXlhbmFuZGEgc2FnYXIgY29sbGVnZeABAA!16s%2Fg%2F11jyg1fvbl?authuser=0&entry=ttu&g_ep=EgoyMDI1MDcyOC4wIKXMDSoASAFQAw%3D%3D"
Corn Stories,"https://www.google.com/maps/place/Corn+Stories/@12.907813,77.5290457,13z/data=!4m13!1m3!2m2!1scafe+near+dayananda+sagar+college!6e5!3m8!1s0x3bae15bce94943ab:0x677d7727e96ac279!8m2!3d12.907813!4d77.5640646!9m1!1b1!15sCiFjYWZlIG5lYXIgZGF5YW5hbmRhIHNhZ2FyIGNvbGxlZ2VaIyIhY2FmZSBuZWFyIGRheWFuYW5kYSBzYWdhciBjb2xsZWdlkgEYdmVnZXRhcmlhbl9jYWZlX2FuZF9kZWxpqgFfCgkvbS8wZGxtaG0QASoIIgRjYWZlKAAyHxABIhvzv04E9BDu9X_Tjgen-289xR_pLTJDqUCgsOEyJRACIiFjYWZlIG5lYXIgZGF5YW5hbmRhIHNhZ2FyIGNvbGxlZ2XgAQA!16s%2Fg%2F11vj2mq0yr?authuser=0&entry=ttu&g_ep=EgoyMDI1MDcyOC4wIKXMDSoASAFQAw%3D%3D"
Genie the Sheesha Lounge,"https://www.google.com/maps/place/Genie+the+Sheesha+Lounge/@12.9096224,77.5294895,13z/data=!4m13!1m3!2m2!1scafe+near+dayananda+sagar+college!6e5!3m8!1s0x3bae15a7180b2839:0x6c97bef5b7f4f9f7!8m2!3d12.9096224!4d77.5645084!9m1!1b1!15sCiFjYWZlIG5lYXIgZGF5YW5hbmRhIHNhZ2FyIGNvbGxlZ2VaIyIhY2FmZSBuZWFyIGRheWFuYW5kYSBzYWdhciBjb2xsZWdlkgEEY2FmZZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOUGFIQkRhMGgzRUFFqgFfCgkvbS8wZGxtaG0QASoIIgRjYWZlKAAyHxABIhvzv04E9BDu9X_Tjgen-289xR_pLTJDqUCgsOEyJRACIiFjYWZlIG5lYXIgZGF5YW5hbmRhIHNhZ2FyIGNvbGxlZ2XgAQD6AQQIABA0!16s%2Fg%2F11rw9f7yhs?authuser=0&entry=ttu&g_ep=EgoyMDI1MDcyOC4wIKXMDSoASAFQAw%3D%3D"
Cafe Levista,"https://www.google.com/maps/place/Cafe+Levista/@12.9074255,77.5382229,13z/data=!4m13!1m3!2m2!1scafe+near+dayananda+sagar+college!6e5!3m8!1s0x3bae150017c894a5:0x45d5f3f27864ef35!8m2!3d12.9074255!4d77.5732418!9m1!1b1!15sCiFjYWZlIG5lYXIgZGF5YW5hbmRhIHNhZ2FyIGNvbGxlZ2VaIyIhY2FmZSBuZWFyIGRheWFuYW5kYSBzYWdhciBjb2xsZWdlkgELY29mZmVlX3Nob3CqAV8KCS9tLzBkbG1obRABKggiBGNhZmUoADIfEAEiG_O_TgT0EO71f9OOB6f7bz3FH-ktMkOpQKCw4TIlEAIiIWNhZmUgbmVhciBkYXlhbmFuZGEgc2FnYXIgY29sbGVnZeABAA!16s%2Fg%2F11y6wffbrq?authuser=0&entry=ttu&g_ep=EgoyMDI1MDcyOC4wIKXMDSoASAFQAw%3D%3D"
Flavours lane,"https://www.google.com/maps/place/Flavours+lane/@12.9066467,77.5612179,14z/data=!4m12!1m2!2m1!1scaf%C3%A9+near+me!3m8!1s0x3bae15f2372f870d:0xbd4d9b26ae52b651!8m2!3d12.9066467!4d77.573599!9m1!1b1!15sCg1jYWbDqSBuZWFyIG1lIgOQAQGSAQRjYWZlqgFAEAEqCSIFY2Fmw6koADIeEAEiGrLLa5VxuU2ekakdr0zRgAhrl3Cxk5I4J_vSMhEQAiINY2Fmw6kgbmVhciBtZeABAA!16s%2Fg%2F11wvrn5v4k?authuser=0&entry=ttu&g_ep=EgoyMDI1MDcyOC4wIKXMDSoASAFQAw%3D%3D"
Shakes Theory,"https://www.google.com/maps/place/Shakes+Theory/@12.9144811,77.5759391,15z/data=!4m12!1m2!2m1!1scaf%C3%A9+near+me!3m8!1s0x3bae1576950f6479:0x8e475b993bddea1a!8m2!3d12.9171218!4d77.5777735!9m1!1b1!15sCg1jYWbDqSBuZWFyIG1lIgOQAQGSAQRjYWZlqgFAEAEqCSIFY2Fmw6koADIeEAEiGrLLa5VxuU2ekakdr0zRgAhrl3Cxk5I4J_vSMhEQAiINY2Fmw6kgbmVhciBtZeABAA!16s%2Fg%2F11f5568z8s?authuser=0&entry=ttu&g_ep=EgoyMDI1MDcyOC4wIKXMDSoASAFQAw%3D%3D"
MITTI Cafe,"https://www.google.com/maps/place/MITTI+Cafe/@12.9238752,77.5646844,15z/data=!4m12!1m2!2m1!1scaf%C3%A9+near+me!3m8!1s0x3bae159f4db6c8c1:0x1353519e6866f257!8m2!3d12.9238752!4d77.5734391!9m1!1b1!15sCg1jYWbDqSBuZWFyIG1lIgOQAQFaDyINY2Fmw6kgbmVhciBtZZIBBGNhZmWqAUAQASoJIgVjYWbDqSgAMh4QASIasstrlXG5TZ6RqR2vTNGACGuXcLGTkjgn-9IyERACIg1jYWbDqSBuZWFyIG1l4AEA!16s%2Fg%2F11c5xtm4vn?authuser=0&entry=ttu&g_ep=EgoyMDI1MDcyOC4wIKXMDSoASAFQAw%3D%3D"
Anju's Cafe,"https://www.google.com/maps/place/Anju's+Cafe/@12.9144811,77.5759391,15z/data=!4m12!1m2!2m1!1scaf%C3%A9+near+me!3m8!1s0x3bae150d6e1f9175:0x21d8921f16528b47!8m2!3d12.9114697!4d77.5870766!9m1!1b1!15sCg1jYWbDqSBuZWFyIG1lIgOQAQFaDyINY2Fmw6kgbmVhciBtZZIBBGNhZmWqAUAQASoJIgVjYWbDqSgAMh4QASIasstrlXG5TZ6RqR2vTNGACGuXcLGTkjgn-9IyERACIg1jYWbDqSBuZWFyIG1l4AEA!16s%2Fg%2F11dz_y70qw?authuser=0&entry=ttu&g_ep=EgoyMDI1MDcyOC4wIKXMDSoASAFQAw%3D%3D"
